Symbol,Name,IPOyear,Sector,Industry
DDD,3D Systems Corporation,,Technology,Computer Software: Prepackaged Software
MMM,3M Company,,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,2013,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,2013,Technology,"Computer Software: Programming, Data Processing"
AHC,A.H. Belo Corporation,,Consumer Services,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",2014,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",2014,Health Care,Medical Specialities
AIR,AAR Corp.,,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",,Technology,Diversified Commercial Services
ABB,ABB Ltd,,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,,Consumer Services,Clothing/Shoe/Accessory Stores
GCH,"Aberdeen Greater China Fund, Inc.",1992,n/a,n/a
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1992,n/a,n/a
SGF,"Aberdeen Singapore Fund, Inc.",1990,n/a,n/a
ABM,ABM Industries Incorporated,,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",2007,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,2016,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",,n/a,n/a
AGRO,Adecoagro S.A.,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Adient plc,2016,Capital Goods,Auto Parts:O.E.M.
ATGE,Adtalem Global Education Inc.,,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",2016,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",2014,Capital Goods,Containers/Packaging
ASX,"Advanced Semiconductor Engineering, Inc.",,Technology,Semiconductors
ASIX,AdvanSix Inc.,2016,Basic Industries,Major Chemicals
AAV,Advantage Oil & Gas Ltd,,Energy,Oil & Gas Production
AVK,Advent Claymore Convertible Securities and Income Fund,2003,n/a,n/a
AGC,Advent Claymore Convertible Securities and Income Fund II,2007,n/a,n/a
LCM,Advent/Claymore Enhanced Growth & Income Fund,2005,n/a,n/a
ACM,AECOM,2007,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,2006,Energy,Oil Refining/Marketing
AEB,Aegon NV,,Finance,Life Insurance
AED,Aegon NV,,Finance,Life Insurance
AEG,Aegon NV,,Finance,Life Insurance
AEH,Aegon NV,,Finance,Life Insurance
AEK,Aegon NV,,Finance,Life Insurance
AER,Aercap Holdings N.V.,2006,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",2014,Technology,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",,Capital Goods,Military/Government/Technical
AET,Aetna Inc.,,Health Care,Medical Specialities
AMG,"Affiliated Managers Group, Inc.",,Finance,Investment Managers
AFL,Aflac Incorporated,,Finance,Accident &Health Insurance
AFSD,Aflac Incorporated,,Finance,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",2011,n/a,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",,n/a,n/a
AGCO,AGCO Corporation,,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Agnico Eagle Mines Limited,,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,,Consumer Services,Real Estate Investment Trusts
AGU,Agrium Inc.,,Basic Industries,Agricultural Chemicals
AL,Air Lease Corporation,2011,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",,Basic Industries,Major Chemicals
AYR,Aircastle Limited,2006,Technology,Diversified Commercial Services
AKS,AK Steel Holding Corporation,,Basic Industries,Steel/Iron Ore
ALP^Q,Alabama Power Company,,n/a,n/a
ALG,"Alamo Group, Inc.",,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,2015,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",,Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,,Basic Industries,Textiles
ALB,Albemarle Corporation,,Basic Industries,Major Chemicals
AA,Alcoa Corporation,2016,Basic Industries,Aluminum
ALEX,"Alexander & Baldwin Holdings, Inc.",,Finance,Real Estate
ALX,"Alexander&#39;s, Inc.",,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",,Consumer Services,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",,n/a,n/a
AQN,Algonquin Power & Utilities Corp.,2016,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services
Y,Alleghany Corporation,,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,,Basic Industries,Steel/Iron Ore
ALLE,Allegion plc,2013,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals
AGN^A,Allergan plc.,,n/a,n/a
ALE,"Allete, Inc.",,Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,2002,n/a,n/a
ADS,Alliance Data Systems Corporation,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,2002,n/a,n/a
AOI,"Alliance One International, Inc.",,Consumer Services,Farming/Seeds/Milling
AWF,Alliance World Dollar Government Fund II,1993,n/a,n/a
AB,AllianceBernstein Holding L.P.,,Finance,Investment Managers
LNT,Alliant Energy Corporation,,Public Utilities,Power Generation
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,n/a,n/a
NCV,AllianzGI Convertible & Income Fund,2003,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,2003,n/a,n/a
ACV,AllianzGI Diversified Income & Convertible Fund,2015,n/a,n/a
NIE,AllianzGI Equity & Convertible Income Fund,2007,n/a,n/a
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),,n/a,n/a
ALL^B,Allstate Corporation (The),,n/a,n/a
ALL^C,Allstate Corporation (The),,n/a,n/a
ALL^D,Allstate Corporation (The),,n/a,n/a
ALL^E,Allstate Corporation (The),,n/a,n/a
ALL^F,Allstate Corporation (The),,n/a,n/a
ALLY,Ally Financial Inc.,2014,Finance,Finance: Consumer Services
ALLY^A,Ally Financial Inc.,,n/a,n/a
ALDW,"Alon USA Partners, LP",2012,Energy,Integrated oil Companies
AGD,Alpine Global Dynamic Dividend Fund,2006,n/a,n/a
AWP,Alpine Global Premier Properties Fund,2007,n/a,n/a
AOD,Alpine Total Dynamic Dividend Fund,2007,n/a,n/a
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services
RESI,Altisource Residential Corporation,,Finance,Real Estate
MO,Altria Group,,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment
AEE,Ameren Corporation,,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",,Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,2003,Finance,Life Insurance
AXP,American Express Company,,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",,Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",2014,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",2015,Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,2013,Consumer Services,Real Estate Investment Trusts
AMH^C,American Homes 4 Rent,,n/a,n/a
AMH^D,American Homes 4 Rent,,n/a,n/a
AMH^E,American Homes 4 Rent,,n/a,n/a
AMH^F,American Homes 4 Rent,,n/a,n/a
AMH^G,American Homes 4 Rent,,n/a,n/a
AIG,"American International Group, Inc.",,Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",,n/a,n/a
AMID,"American Midstream Partners, LP",2011,Public Utilities,Natural Gas Distribution
ARL,"American Realty Investors, Inc.",,Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",2016,Health Care,Hospital/Nursing Management
AWR,American States Water Company,,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),,Consumer Services,Real Estate Investment Trusts
AMT^B,American Tower Corporation (REIT),,n/a,n/a
AVD,American Vanguard Corporation,,Basic Industries,Agricultural Chemicals
AWK,American Water Works,2008,Public Utilities,Water Supply
APU,"AmeriGas Partners, L.P.",,Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",,Finance,Investment Managers
ABC,AmerisourceBergen Corporation (Holding Co),,Health Care,Other Pharmaceuticals
ANFI,Amira Nature Foods Ltd,2012,Consumer Non-Durables,Packaged Foods
AMN,AMN Healthcare Services Inc,,Technology,Professional Services
AP,Ampco-Pittsburgh Corporation,,Capital Goods,Fluid Controls
APH,Amphenol Corporation,,Capital Goods,Electrical Products
BETR,"Amplify Snack Brands, inc.",2015,Consumer Non-Durables,Packaged Foods
AXR,AMREP Corporation,,Consumer Services,Newspapers/Magazines
AME,"AMTEK, Inc.",,Consumer Durables,Metal Fabrications
AFSI^A,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSI^B,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSI^C,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSI^D,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSI^E,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSI^F,"AmTrust Financial Services, Inc.",,n/a,n/a
AFSS,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AEUA,Anadarko Petroleum Corporation,2015,Energy,Oil & Gas Production
APC,Anadarko Petroleum Corporation,,Energy,Oil & Gas Production
ANDV,Andeavor,,Energy,Integrated oil Companies
ANDX,Andeavor Logistics LP,2011,Energy,Natural Gas Distribution
AU,AngloGold Ashanti Limited,,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,,Consumer Non-Durables,Beverages (Production/Distribution)
AXE,Anixter International Inc.,,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,,Consumer Services,Real Estate Investment Trusts
NLY^C,Annaly Capital Management Inc,,n/a,n/a
NLY^D,Annaly Capital Management Inc,,n/a,n/a
NLY^E,Annaly Capital Management Inc,,n/a,n/a
NLY^F,Annaly Capital Management Inc,,n/a,n/a
AMGP,Antero Midstream GP LP,2017,Public Utilities,Natural Gas Distribution
AM,Antero Midstream Partners LP,2014,Public Utilities,Natural Gas Distribution
AR,Antero Resources Corporation,2013,Energy,Oil & Gas Production
ANTM,"Anthem, Inc.",,Health Care,Medical Specialities
ANTX,"Anthem, Inc.",2015,Health Care,Medical Specialities
ANH,Anworth Mortgage Asset  Corporation,,Consumer Services,Real Estate Investment Trusts
ANH^A,Anworth Mortgage Asset  Corporation,,n/a,n/a
ANH^B,Anworth Mortgage Asset  Corporation,,n/a,n/a
ANH^C,Anworth Mortgage Asset  Corporation,,n/a,n/a
AON,Aon plc,,Finance,Specialty Insurers
APA,Apache Corporation,,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,1994,Consumer Services,Real Estate Investment Trusts
AIV^A,Apartment Investment and Management Company,,n/a,n/a
ARI,Apollo Commercial Real Estate Finance,2009,Consumer Services,Real Estate Investment Trusts
ARI^C,Apollo Commercial Real Estate Finance,,n/a,n/a
APO,"Apollo Global Management, LLC",2011,Finance,Investment Managers
APO^A,"Apollo Global Management, LLC",,n/a,n/a
AIY,Apollo Investment Corporation,2013,n/a,n/a
AFT,Apollo Senior Floating Rate Fund Inc.,2011,n/a,n/a
AIF,Apollo Tactical Income Fund Inc.,2013,n/a,n/a
APLE,"Apple Hospitality REIT, Inc.",2015,Consumer Services,Real Estate Investment Trusts
AIT,"Applied Industrial Technologies, Inc.",,Consumer Durables,Industrial Specialties
ATR,"AptarGroup, Inc.",,Consumer Non-Durables,Plastic Products
WTR,"Aqua America, Inc.",,Public Utilities,Water Supply
AQ,Aquantia Corp.,2017,Technology,Semiconductors
WAAS,AquaVenture Holdings Limited,2016,Public Utilities,Water Supply
ARMK,Aramark,2013,Consumer Services,Restaurants
ABR,Arbor Realty Trust,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,,n/a,n/a
ABR^B,Arbor Realty Trust,,n/a,n/a
ABR^C,Arbor Realty Trust,,n/a,n/a
ABRN,Arbor Realty Trust,2014,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",2004,Consumer Services,Professional Services
ARCX,Arc Logistic Partners LP,2013,Energy,Oil Refining/Marketing
MT,ArcelorMittal,,Basic Industries,Steel/Iron Ore
ARH^C,Arch Capital Group Ltd.,,n/a,n/a
ARCH,"Arch Coal, Inc.",2016,Energy,Coal Mining
ADM,Archer-Daniels-Midland Company,,Consumer Non-Durables,Packaged Foods
AROC,"Archrock, Inc.",,Public Utilities,Natural Gas Distribution
ARNC,Arconic Inc.,,Capital Goods,Metal Fabrications
ARCO,Arcos Dorados Holdings Inc.,2011,Consumer Services,Restaurants
ARD,Ardagh Group S.A.,2017,Consumer Durables,Containers/Packaging
ASC,Ardmore Shipping Corporation,2013,Transportation,Marine Transportation
AFC,Ares Capital Corporation,,n/a,n/a
ACRE,Ares Commercial Real Estate Corporation,2012,Consumer Services,Real Estate Investment Trusts
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",2012,n/a,n/a
ARES,Ares Management L.P.,2014,Finance,Investment Managers
ARES^A,Ares Management L.P.,,n/a,n/a
AGX,"Argan, Inc.",,Basic Industries,Engineering & Construction
ANET,"Arista Networks, Inc.",2014,Technology,Computer Communications Equipment
AI,Arlington Asset Investment Corp,,Finance,Finance/Investors Services
AI^B,Arlington Asset Investment Corp,,n/a,n/a
AIC,Arlington Asset Investment Corp,2015,Finance,Finance/Investors Services
AIW,Arlington Asset Investment Corp,,Finance,Finance/Investors Services
AHH,"Armada Hoffler Properties, Inc.",2013,Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",,Consumer Services,Real Estate Investment Trusts
ARR^A,"ARMOUR Residential REIT, Inc.",,n/a,n/a
ARR^B,"ARMOUR Residential REIT, Inc.",,n/a,n/a
AFI,"Armstrong Flooring, Inc.",2016,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc,,Consumer Non-Durables,Plastic Products
ARW,"Arrow Electronics, Inc.",,Consumer Non-Durables,Electronic Components
AJG,Arthur J. Gallagher & Co.,,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,2013,Finance,Investment Managers
ASA,ASA Gold and Precious Metals Limited,,n/a,n/a
ABG,Asbury Automotive Group Inc,2002,Consumer Durables,Automotive Aftermarket
AHP,"Ashford Hospitality Prime, Inc.",2013,Consumer Services,Real Estate Investment Trusts
AHP^B,"Ashford Hospitality Prime, Inc.",,n/a,n/a
AHT,Ashford Hospitality Trust Inc,2003,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc,,n/a,n/a
AHT^F,Ashford Hospitality Trust Inc,,n/a,n/a
AHT^G,Ashford Hospitality Trust Inc,,n/a,n/a
AHT^H,Ashford Hospitality Trust Inc,,n/a,n/a
ASH,Ashland Global Holdings Inc.,,Consumer Durables,Specialty Chemicals
APB,"Asia Pacific Fund, Inc. (The)",,n/a,n/a
GRR,"Asia Tigers Fund, Inc. (The)",,n/a,n/a
ASPN,"Aspen Aerogels, Inc.",2014,Consumer Services,RETAIL: Building Materials
AHL,Aspen Insurance Holdings Limited,2003,Finance,Property-Casualty Insurers
AHL^C,Aspen Insurance Holdings Limited,,n/a,n/a
AHL^D,Aspen Insurance Holdings Limited,,n/a,n/a
ASB,Associated Banc-Corp,,Finance,Major Banks
ASB^C,Associated Banc-Corp,,n/a,n/a
ASB^D,Associated Banc-Corp,,n/a,n/a
AC,"Associated Capital Group, Inc.",2015,Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",2004,Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd.,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,,n/a,n/a
AGO^E,Assured Guaranty Ltd.,,n/a,n/a
AGO^F,Assured Guaranty Ltd.,,n/a,n/a
AZN,Astrazeneca PLC,,Health Care,Major Pharmaceuticals
HOME,At Home Group Inc.,2016,Consumer Services,Home Furnishings
T,AT&T Inc.,,Public Utilities,Telecommunications Equipment
TBB,AT&T Inc.,2017,Public Utilities,Telecommunications Equipment
ATTO,Atento S.A.,2014,Public Utilities,Telecommunications Equipment
ATH,Athene Holding Ltd.,2016,Finance,Life Insurance
ATKR,Atkore International Group Inc.,2016,Miscellaneous,Industrial Machinery/Components
AT,Atlantic Power Corporation,,Energy,Electric Utilities: Central
ATO,Atmos Energy Corporation,,Public Utilities,Oil/Gas Transmission
AUO,AU Optronics Corp,2002,Technology,Semiconductors
ATHM,Autohome Inc.,2013,Technology,EDP Services
ALV,"Autoliv, Inc.",,Capital Goods,Auto Parts:O.E.M.
AN,"AutoNation, Inc.",,Consumer Durables,Automotive Aftermarket
AZO,"AutoZone, Inc.",,Consumer Services,Other Specialty Stores
AVB,"AvalonBay Communities, Inc.",,Consumer Services,Real Estate Investment Trusts
AGR,"Avangrid, Inc.",2015,Public Utilities,Electric Utilities: Central
ACP,Avenue Income Credit Strategies Fund,2011,n/a,n/a
AVY,Avery Dennison Corporation,,Consumer Durables,Containers/Packaging
AVH,Avianca Holdings S.A.,2013,Transportation,Air Freight/Delivery Services
AVA,Avista Corporation,,Public Utilities,Power Generation
AVT,"Avnet, Inc.",,Consumer Non-Durables,Electronic Components
AVP,"Avon Products, Inc.",,Consumer Non-Durables,Package Goods/Cosmetics
AVX,AVX Corporation,,Capital Goods,Electrical Products
AXTA,Axalta Coating Systems Ltd.,2014,Basic Industries,Paints/Coatings
AXS,Axis Capital Holdings Limited,2003,Finance,Property-Casualty Insurers
AXS^D,Axis Capital Holdings Limited,,n/a,n/a
AXS^E,Axis Capital Holdings Limited,,n/a,n/a
AZUL,Azul S.A.,2017,Transportation,Air Freight/Delivery Services
AZRE,Azure Power Global Limited,2016,Public Utilities,Electric Utilities: Central
AZZ,AZZ Inc.,,Consumer Durables,Building Products
BGS,"B&G Foods, Inc.",,Consumer Non-Durables,Packaged Foods
BW,Babcock,2015,Capital Goods,Building Products
BGH,Babson Global Short Duration High Yield Fund,2012,n/a,n/a
BMI,"Badger Meter, Inc.",,Capital Goods,Industrial Machinery/Components
BHGE,"Baker Hughes, a GE company",2017,Energy,Metal Fabrications
BBN,BalckRock Taxable Municipal Bond Trust,2010,n/a,n/a
BLL,Ball Corporation,,Consumer Durables,Containers/Packaging
BANC,"Banc of California, Inc.",,Finance,Major Banks
BANC^C,"Banc of California, Inc.",,n/a,n/a
BANC^D,"Banc of California, Inc.",,n/a,n/a
BANC^E,"Banc of California, Inc.",,n/a,n/a
BBVA,Banco Bilbao Viscaya Argentaria S.A.,,Finance,Commercial Banks
BBD,Banco Bradesco Sa,,Finance,Major Banks
BBDO,Banco Bradesco Sa,,Finance,Major Banks
BCH,Banco De Chile,,Finance,Commercial Banks
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",1992,Finance,Commercial Banks
BSBR,Banco Santander Brasil SA,2009,Finance,Commercial Banks
BSAC,Banco Santander Chile,,Finance,Commercial Banks
SAN,"Banco Santander, S.A.",,Finance,Commercial Banks
SAN^A,"Banco Santander, S.A.",,n/a,n/a
SAN^B,"Banco Santander, S.A.",,n/a,n/a
SAN^C,"Banco Santander, S.A.",,n/a,n/a
SAN^I,"Banco Santander, S.A.",,n/a,n/a
CIB,BanColombia S.A.,,Finance,Commercial Banks
BXS,BancorpSouth Bank,,n/a,n/a
BAC,Bank of America Corporation,,Finance,Major Banks
BAC.WS.A,Bank of America Corporation,,n/a,n/a
BAC.WS.B,Bank of America Corporation,,n/a,n/a
BAC^A,Bank of America Corporation,,n/a,n/a
BAC^C,Bank of America Corporation,,n/a,n/a
BAC^D,Bank of America Corporation,,n/a,n/a
BAC^E,Bank of America Corporation,,n/a,n/a
BAC^I,Bank of America Corporation,,n/a,n/a
BAC^L,Bank of America Corporation,,n/a,n/a
BAC^W,Bank of America Corporation,,Finance,Major Banks
BAC^Y,Bank of America Corporation,,Finance,Major Banks
BML^G,Bank of America Corporation,,n/a,n/a
BML^H,Bank of America Corporation,,n/a,n/a
BML^I,Bank of America Corporation,,n/a,n/a
BML^J,Bank of America Corporation,,n/a,n/a
BML^L,Bank of America Corporation,,n/a,n/a
BOH,Bank of Hawaii Corporation,,Finance,Major Banks
BMO,Bank Of Montreal,,Finance,Commercial Banks
NTB,Bank of N.T. Butterfield & Son Limited (The),2016,Finance,Commercial Banks
BK,Bank Of New York Mellon Corporation (The),,Finance,Major Banks
BK^C,Bank Of New York Mellon Corporation (The),,n/a,n/a
BNS,Bank of Nova Scotia (The),,Finance,Major Banks
BKU,"BankUnited, Inc.",2011,Finance,Savings Institutions
BCS,Barclays PLC,,Finance,Commercial Banks
BCS^D,Barclays PLC,,n/a,n/a
MCI,Barings Corporate Investors,,n/a,n/a
MPV,Barings Participation Investors,1988,Consumer Services,Miscellaneous
BNED,"Barnes & Noble Education, Inc",2015,Consumer Services,Other Specialty Stores
BKS,"Barnes & Noble, Inc.",,Consumer Services,Other Specialty Stores
B,"Barnes Group, Inc.",,Capital Goods,Metal Fabrications
CUDA,"Barracuda Networks, Inc.",2013,Technology,Computer peripheral equipment
ABX,Barrick Gold Corporation,,Basic Industries,Precious Metals
BAS,"Basic Energy Services, Inc.",2005,Energy,Oilfield Services/Equipment
BAX,Baxter International Inc.,,Health Care,Medical/Dental Instruments
BTE,Baytex Energy Corp,,Energy,Oil & Gas Production
BBT,BB&T Corporation,,Finance,Major Banks
BBT^D,BB&T Corporation,,n/a,n/a
BBT^E,BB&T Corporation,,n/a,n/a
BBT^F,BB&T Corporation,,n/a,n/a
BBT^G,BB&T Corporation,,n/a,n/a
BBT^H,BB&T Corporation,,n/a,n/a
BFR,BBVA Banco Frances S.A.,,Finance,Commercial Banks
BBX,BBX Capital Corporation,2017,Finance,Real Estate
BCE,"BCE, Inc.",,Public Utilities,Telecommunications Equipment
BZH,"Beazer Homes USA, Inc.",1994,Capital Goods,Homebuilding
BDX,"Becton, Dickinson and Company",,Health Care,Medical/Dental Instruments
BDXA,"Becton, Dickinson and Company",,Health Care,Medical/Dental Instruments
BDC,Belden Inc,,Basic Industries,Telecommunications Equipment
BDC^B,Belden Inc,,n/a,n/a
BXE,Bellatrix Exploration Ltd,,Energy,Oil & Gas Production
BEL,Belmond Ltd.,,Consumer Services,Hotels/Resorts
BMS,"Bemis Company, Inc.",,Consumer Durables,Containers/Packaging
BHE,"Benchmark Electronics, Inc.",,Technology,Electrical Products
BRK.A,Berkshire Hathaway Inc.,,n/a,n/a
BRK.B,Berkshire Hathaway Inc.,,n/a,n/a
BHLB,"Berkshire Hills Bancorp, Inc.",,Finance,Banks
BERY,"Berry Global Group, Inc.",2012,Consumer Non-Durables,Plastic Products
BBY,"Best Buy Co., Inc.",,Consumer Services,Consumer Electronics/Video Chains
BSTI,BEST Inc.,2017,Transportation,Trucking Freight/Courier Services
BGCA,"BGC Partners, Inc.",2012,Finance,Investment Bankers/Brokers/Service
BHP,BHP Billiton Limited,,Basic Industries,Precious Metals
BBL,BHP Billiton plc,,Energy,Coal Mining
BIG,"Big Lots, Inc.",,Consumer Services,Department/Specialty Retail Stores
BH,Biglari Holdings Inc.,,Consumer Services,Restaurants
BBG,Bill Barrett Corporation,2004,Energy,Oil & Gas Production
BIOA,BioAmber Inc.,2013,Basic Industries,Major Chemicals
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,2017,Health Care,Major Pharmaceuticals
BIO,"Bio-Rad Laboratories, Inc.",,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO.B,"Bio-Rad Laboratories, Inc.",,n/a,n/a
BITA,Bitauto Holdings Limited,2010,Technology,EDP Services
BKH,Black Hills Corporation,,Public Utilities,Electric Utilities: Central
BKHU,Black Hills Corporation,2015,Public Utilities,Electric Utilities: Central
BKI,"Black Knight, Inc.",2017,Technology,Computer Software: Prepackaged Software
BSM,"Black Stone Minerals, L.P.",2015,Energy,Oil & Gas Production
BB,BlackBerry Limited,,Technology,Computer Software: Prepackaged Software
BGIO,BlackRock 2022 Global Income Opportunity Trust,2017,n/a,n/a
BJZ,Blackrock California Municipal 2018 Term Trust,2001,n/a,n/a
BFZ,BlackRock California Municipal Income Trust,2001,n/a,n/a
CII,Blackrock Capital and Income Strategies Fund Inc,2004,n/a,n/a
BHK,Blackrock Core Bond Trust,2001,n/a,n/a
HYT,"Blackrock Corporate High Yield Fund, Inc.",2003,n/a,n/a
BTZ,BlackRock Credit Allocation Income Trust,2006,n/a,n/a
DSU,"Blackrock Debt Strategies Fund, Inc.",1998,n/a,n/a
BGR,BlackRock Energy and Resources Trust,2004,n/a,n/a
BDJ,Blackrock Enhanced Equity Dividend Trust,2005,n/a,n/a
EGF,"Blackrock Enhanced Government Fund, Inc",2005,n/a,n/a
FRA,Blackrock Floating Rate Income Strategies Fund Inc,2003,n/a,n/a
BFO,Blackrock Florida Municipal 2020 Term Trust,2003,n/a,n/a
BGT,Blackrock Global,2004,n/a,n/a
BOE,Blackrock Global,2005,n/a,n/a
BME,Blackrock Health Sciences Trust,2005,n/a,n/a
BAF,BlackRock Income Investment Quality Trust,2002,n/a,n/a
BKT,BlackRock Income Trust Inc. (The),,n/a,n/a
BGY,"BLACKROCK INTERNATIONAL, LTD.",2007,n/a,n/a
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),1993,n/a,n/a
BTA,BlackRock Long-Term Municipal Advantage Trust,2006,n/a,n/a
BIT,BlackRock Multi-Sector Income Trust,2013,n/a,n/a
MUI,Blackrock Muni Intermediate Duration Fund Inc,2003,n/a,n/a
MNE,Blackrock Muni New York Intermediate Duration Fund Inc,2003,n/a,n/a
MUA,"Blackrock MuniAssets Fund, Inc.",1993,n/a,n/a
BPK,Blackrock Municipal 2018 Term Trust,2001,n/a,n/a
